Region,Type,InterCity,Name,lat,long,2005,2006,2007,2008,2009,2010
Northwest Territories,Entry,,Yellowknife,62.4422,-114.3975,212,209,,235,239,
Northwest Territories,Entry,,Inuvik,68.3617,-133.7306,269,297,,348,,
Northwest Territories,Entry,,Hay River,60.8331 ,-115.7778,,,,,261,
Northwest Territories,Community,,Deline,,,,408,,442,426,
Northwest Territories,Community,,Tulita,,,417,415,,423,448,
Northwest Territories,Community,,Norman Wells,,,365,399,,419,428,
Northwest Territories,Community,,Fort Good Hope,,,,408,,437,421,
Northwest Territories,Community,,Colville Lake,,,,,,492,483,
Northwest Territories,Community,,Tuktoyaktuk,,,,379,,423,,
Northwest Territories,Community,,Paulatuk,,,,421,,476,,
Northwest Territories,Community,,Sachs Harbour,,,,432,,434,,
Northwest Territories,Community,,Ulukhaktok,,,,404,,429,,
Northwest Territories,Community,,Trout Lake,,,,,,,376,
Yukon,Entry,,Whitehorse,60.7167,-135.05,203,,,207,,
Yukon,Community,,Old Crow,,,436,462,,496,,
