"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"42","Akulivik","Inuit","60.817681","-78.144241","615","1979","22.625","201.011482474597"
"43","Ulukhaktok","Inuit","70.733333","-117.75","402","1979","19.075","178.707699361306"
"44","Resolute Bay","Inuit","74.697299","-94.829729","214","1979","19.075","130.890699548728"
"45","Arviat","Inuit","61.095587","-94.07189","2318","1979","22.625","151.309693738399"
"46","Aupaluk","Inuit","59.30574","-69.597489","195","1979","25.8166666666667","120.209016386833"
"47","Gjoa Haven","Inuit","68.635556","-95.849722","1279","1979","19.075","123.801735032325"
"48","Kangiqsualujjuaq","Inuit","58.711389","-65.992778","874","1979","25.8166666666667","188.571788845564"
"49","Kugaaruk","Inuit","68.534722","-89.825","771","1979","19.075","213.850460640477"
"50","Taloyoak","Inuit","69.537378","-93.524968","899","1979","19.075","130.308954248716"
"51","Tuktoyaktuk","Inuit","69.445358","-133.034181","854","1979","19.075","138.770921576199"
"52","Killiniq","Inuit","60.420298106","-64.831129","0","1979","25.8166666666667","124.819063449643"
"53","Inuvik","Inuit","68.354382","-133.690613","3463","1979","19.075","212.597259921746"
"54","Fort William","Inuit","48.353968","-89.262714","193","1979","22.625","121.904458264738"
"55","Buffalo Point First Nation","Inuit","49.012444","-95.239622","52","1979","22.625","181.712072851435"
"56","Ojibway Nation of Saugeen","Inuit","50.434770016","-90.691783627","207","1979","22.625","276.76464939775"
"57","Lac La Croix","Inuit","48.38805556","-92.07805556","377","1979","22.625","154.085958222037"
"58","Madawaska Maliseet First Nation","Inuit","47.362299405","-68.296508276","314","1979","24.375","233.486365430232"
"59","Naotkamegwanning","Inuit","49.403889","-93.893056","51","1979","22.625","180.418086318216"
"60","Wabauskang First Nation","Inuit","50.416111","-93.185","292","1979","22.625","127.21936643188"
"61","Obashkaandagaang","Inuit","49.691111111","-94.613888889","300","1979","22.625","151.57451147459"
"62","Anishnaabeg of Naongashiing","Inuit","49.121944444","-94.308055556","357","1979","22.625","193.763476014321"
"63","Anishinabe of Wauzhushk Onigum","Inuit","49.741210937","-94.426944444","489","1979","22.625","125.216988526421"
"64","Gull Bay","Inuit","49.800908","-89.105937","64","1979","22.625","222.824981303542"
"65","Tobique","Inuit","46.784080938","-67.695149614","199","1979","24.375","128.538405977063"
"66","Couchiching First Nation","Inuit","48.682921942","-93.413057239","217","1979","22.625","143.997327518907"
"67","Northwest Angle No.33","Inuit","49.376111111","-95.021111111","405","1979","22.625","129.383472106581"
"68","Northwest Angle No.37","Inuit","49.375","-93.988888889","346","1979","22.625","122.637838727423"
"69","Mitaanjigamiing First Nation","Inuit","48.713055556","-93.361111111","98","1979","22.625","135.504442252863"
"70","Woodstock","Inuit","46.109192","-67.57747","554","1979","24.375","144.706485845057"
"71","Eagle Lake","Inuit","49.745","-93.055","428","1979","22.625","123.00207211365"
"72","Rainy River First Nations","Inuit","48.655","-93.906944444","561","1979","22.625","153.637583136275"
"73","Lac Des Mille Lacs","Inuit","48.965046882","-90.647195987","429","1979","22.625","226.697145168726"
"74","Wabaseemoong Independent Nations","Inuit","50.133333","-94.95","159","1979","22.625","225.073880763766"
"75","Big Grassy","Inuit","49.053956465","-94.305554548","497","1979","22.625","125.831834102938"
"76","Iskatewizaagegan #39 Independent First Nation","Inuit","49.653055556","-95.098055556","438","1979","22.625","205.468459209792"
"77","Ojibways of Onigaming First Nation","Inuit","49.176944444","-93.921111111","503","1979","22.625","196.270581634978"
"78","Grassy Narrows First Nation","Inuit","50.183055556","-94.036944444","99","1979","22.625","125.562907318863"
"79","Wabigoon Lake Ojibway Nation","Inuit","49.605","-92.523056","462","1979","22.625","147.9479202286"
"80","Ochiichagwe'babigo'ining First Nation","Inuit","49.893748992","-94.538129049","369","1979","22.625","127.407140583495"
"81","Naicatchewenin","Inuit","48.858888889","-93.578888889","376","1979","22.625","173.326557581305"
"82","Nigigoonsiminikaaning First Nation","Inuit","48.73846477","-92.925954105","319","1979","22.625","129.159772710367"
"83","Kingsclear","Inuit","45.950442","-66.851933","558","1979","24.375","125.768155781382"
"84","Shoal Lake No.40","Inuit","49.605561944","-95.132423611","433","1979","22.625","132.572877767242"
"85","Seine River First Nation","Inuit","48.718888889","-92.428055556","491","1979","22.625","185.982690094481"
"86","Lac Seul","Inuit","50.245","-92.328055556","304","1979","22.625","149.620903645833"
"87","Skuppah","Inuit","50.187988281","-121.578063965","39","1979","23.2083333333333","122.908225829639"
"88","Toosey","Inuit","51.920410156","-122.483764648","298","1979","23.2083333333333","231.73910537877"
"89","Première nation de Whapmagoostui","Inuit","55.16003418","-77.269897461","540","1979","23.95","175.316210615726"
"90","Katzie","Inuit","49.201504","-122.677245","417","1979","23.2083333333333","122.469158179969"
"91","Membertou","Inuit","46.116621","-60.195615","82","1979","25.8166666666667","278.145961593988"
"92","Yekooche First Nation","Inuit","54.600402832","-125.066101074","202","1979","23.2083333333333","156.899904492482"
"93","York Factory First Nation","Inuit","56.089782715","-96.108276367","55","1979","22.625","168.650517863148"
"94","Nisga'a Village of Laxgalt'sap","Inuit","55.037841797","-129.555786133","133","1979","23.2083333333333","133.086900124165"
"95","Acadia","Inuit","43.832917","-66.084223","94","1979","24.375","222.955265507735"
"96","Waycobah First Nation","Inuit","45.967398945","-61.135483371","555","1979","25.8166666666667","133.660992901409"
"97","Tlowitsis Tribe","Inuit","50.531982422","-125.982666016","350","1979","23.2083333333333","130.8697316448"
"98","Haisla Nation","Inuit","53.973205566","-128.648071289","141","1979","23.2083333333333","211.24540144728"
"99","Tsawwassen First Nation","Inuit","49.041920768","-123.100158446","311","1979","23.2083333333333","199.911088594129"
"100","Chawathil","Inuit","49.378888889","-121.555","426","1979","23.2083333333333","129.207438959146"
"101","Micmacs of Gesgapegiag","Inuit","48.202614179","-65.922951854","89","1979","25.8166666666667","153.690018529429"
"102","Taykwa Tagamou Nation","Inuit","49.006944444","-80.838055556","393","1979","23.95","134.377069819843"
"103","Westbank First Nation","Inuit","49.836111111","-119.608055556","516","1979","23.2083333333333","153.135059414403"
"104","Nazko First Nation","Inuit","52.954223633","-123.583618164","335","1979","23.2083333333333","123.20791109082"
"105","Beecher Bay","Inuit","48.337688","-123.606697","224","1979","23.2083333333333","121.426494940383"
"106","Première Nation Malecite de Viger","Inuit","47.917994282","-69.50759115","29","1979","24.375","123.896153473001"
"107","Cowichan","Inuit","48.776794434","-123.708312988","391","1979","23.2083333333333","122.528094935647"
"108","Eskasoni","Inuit","45.930251534","-60.6452928","364","1979","25.8166666666667","120.941009713165"
"109","Tetlit Gwich'in","Inuit","67.431213379","-134.875488281","84","1979","19.075","210.84508072341"
"110","Metlakatla","Inuit","54.33782959","-130.445373535","529","1979","23.2083333333333","126.112265967859"
"111","Fort Severn","Inuit","55.994566263","-87.61970716","453","1979","22.625","129.306566791049"
"112","Buctouche","Inuit","46.4525","-64.758611111","39","1979","25.8166666666667","121.5687203498"
"113","Sliammon","Inuit","49.897946","-124.607755","10","1979","23.2083333333333","132.437056067607"
"114","Kitselas","Inuit","54.491638184","-128.584106445","437","1979","23.2083333333333","216.481766362956"
"115","Les Innus de Ekuanitshit","Inuit","50.29083252","-64.02130127","429","1979","25.8166666666667","178.195077368478"
"116","Hupacasath First Nation","Inuit","49.265197754","-124.825500488","293","1979","23.2083333333333","197.373020189948"
"117","Kitchenuhmaykoosib Inninuwug","Inuit","53.824274134","-89.875387627","108","1979","22.625","128.46356378482"
"118","Cayoose Creek","Inuit","50.671944444","-121.935","171","1979","23.2083333333333","128.56990172217"
"119","Kitasoo","Inuit","52.583055556","-128.533055556","404","1979","23.2083333333333","180.216760167988"
"120","Ashcroft","Inuit","50.717834473","-121.311584473","256","1979","23.2083333333333","197.414145285443"
"121","Tzeachten","Inuit","49.111327","-121.956911","394","1979","23.2083333333333","216.651785472529"
"122","Quatsino","Inuit","50.61340332","-127.573669434","405","1979","23.2083333333333","126.808448487624"
"123","Nadleh Whuten","Inuit","54.076944444","-124.601111111","409","1979","23.2083333333333","148.256747956628"
"124","Skawahlook First Nation","Inuit","49.356111111","-121.606944444","524","1979","23.2083333333333","235.713502268706"
"125","Moricetown","Inuit","55.01159668","-127.322509766","172","1979","23.2083333333333","223.278732861955"
"126","Fox Lake","Inuit","56.329870819","-94.663388508","37","1979","22.625","126.392378945015"
"127","Webequie","Inuit","52.985229492","-87.282409668","530","1979","22.625","136.924251733066"
"128","Popkum","Inuit","49.208055556","-121.718055556","2","1979","23.2083333333333","126.894921464226"
"129","Atikamekw d'Opitciwan","Inuit","48.666992187","-74.948974609","265","1979","23.95","220.21695211322"
"130","Bear River","Inuit","44.549444444","-65.623611111","297","1979","24.375","196.519317669141"
"131","Huu-ay-aht First Nations","Inuit","48.800598145","-125.120666504","472","1979","23.2083333333333","128.001795240332"
"132","Nak'azdli","Inuit","54.431396484","-124.247497559","156","1979","23.2083333333333","147.682772240966"
"133","T'it'q'et","Inuit","50.68538061","-121.949795556","360","1979","23.2083333333333","135.167148945741"
"134","Shubenacadie","Inuit","45.095224","-63.489859","232","1979","24.5166666666667","151.611002432848"
"135","Hesquiaht","Inuit","49.367004395","-126.271972656","470","1979","23.2083333333333","119.184130518601"
"136","Mount Currie","Inuit","50.328055556","-122.676111111","192","1979","23.2083333333333","123.914119884537"
"137","Da'naxda'xw First Nation","Inuit","51.017211914","-125.612182617","194","1979","23.2083333333333","156.31450190263"
"138","Odanak","Inuit","46.073242187","-72.821899414","211","1979","23.8583333333333","133.637159266573"
"139","Miawpukek","Inuit","47.863441","-55.755889","281","1979","27.225","123.435893866136"
"140","Malahat First Nation","Inuit","48.614013672","-123.520202637","293","1979","23.2083333333333","126.324337852068"
"141","Kashechewan","Inuit","52.291388889","-81.652222222","1","1979","23.95","126.942728008214"
"142","Annapolis Valley","Inuit","45.065777","-64.654284","260","1979","24.5166666666667","183.714403720387"
"143","Leq' a: mel First Nation","Inuit","49.185","-122.076944444","345","1979","23.2083333333333","122.753481767667"
"144","Aklavik","Inuit","68.218200684","-135.006469727","361","1979","19.075","211.361174920472"
"145","Skidegate","Inuit","53.261413574","-131.997070313","110","1979","23.2083333333333","125.182444452141"
"146","Iskut","Inuit","57.840026855","-129.985290527","493","1979","23.2083333333333","133.041304112361"
"147","Simpcw First Nation","Inuit","51.322387695","-120.147888184","465","1979","23.2083333333333","123.558845044775"
"148","Moose Cree First Nation","Inuit","51.263888889","-80.596944444","371","1979","23.95","125.447177892303"
"149","Williams Lake","Inuit","52.106201172","-121.993896484","492","1979","23.2083333333333","119.39260597577"
"150","Stswecem'c Xgat'tem First Nation","Inuit","51.587219238","-122.204406738","482","1979","23.2083333333333","123.448101902314"
"151","Waswanipi","Inuit","49.693649133","-75.967010579","186","1979","23.95","127.728521319268"
"152","Metepenagiag Mi'kmaq Nation","Inuit","46.932222222","-65.858055556","454","1979","24.375","155.037113683279"
"153","Shackan","Inuit","50.289428711","-121.180480957","72","1979","23.2083333333333","139.702338143453"
"154","Gitanyow","Inuit","55.258787565","-128.05881555","519","1979","23.2083333333333","126.248540075092"
"155","Okanagan","Inuit","50.448055556","-119.353055556","166","1979","23.2083333333333","134.674602011605"
"156","Hagwilget Village","Inuit","55.255","-127.603055556","502","1979","23.2083333333333","140.155092574495"
"157","Snuneymuxw First Nation","Inuit","49.152038574","-123.92956543","122","1979","23.2083333333333","132.929346404425"
"158","Tsawout First Nation","Inuit","48.588989258","-123.386779785","527","1979","23.2083333333333","152.52856325423"
"159","Squiala First Nation","Inuit","49.156111111","-121.976111111","174","1979","23.2083333333333","140.744556108121"
"160","Sumas First Nation","Inuit","49.054351","-122.195349","294","1979","23.2083333333333","158.666267670138"
"161","Musqueam","Inuit","49.225165","-123.19828","73","1979","23.2083333333333","223.733938484563"
"162","Wahgoshig","Inuit","48.611944444","-79.983888889","295","1979","23.95","133.873566391386"
"163","Boston Bar First Nation","Inuit","49.869812012","-121.451293945","243","1979","23.2083333333333","179.563796825655"
"164","Kwiakah","Inuit","50.423888889","-125.158888889","189","1979","23.2083333333333","179.793060221597"
"165","Kwantlen First Nation","Inuit","49.173888889","-122.561944444","222","1979","23.2083333333333","187.442728119662"
"166","Dzawada'enuxw First Nation","Inuit","50.972595215","-126.17578125","412","1979","23.2083333333333","142.772283523133"
"167","God's Lake First Nation","Inuit","54.553608","-94.494085","247","1979","22.625","179.675521467441"
"168","Paqtnkek Mi'kmaw Nation","Inuit","45.601494964","-61.738137054","422","1979","25.8166666666667","145.877450887568"
"169","Montagnais de Unamen Shipu","Inuit","50.216796875","-60.666687012","28","1979","25.8166666666667","128.245560453377"
"170","Nooaitch","Inuit","50.18939209","-121.058410645","194","1979","23.2083333333333","132.484524218871"
"171","Nicomen","Inuit","50.265014648","-121.398986816","70","1979","23.2083333333333","226.777438297633"
"172","Indian Island","Inuit","46.689166667","-64.791111111","145","1979","25.8166666666667","152.349454843482"
"173","Montagnais du Lac St.-Jean","Inuit","48.559020996","-72.243896484","445","1979","23.8583333333333","233.319057597205"
"174","Manto Sipi Cree Nation","Inuit","54.838964685","-94.062978315","526","1979","22.625","208.668951344264"
"175","Kanaka Bar","Inuit","50.111816406","-121.561584473","200","1979","23.2083333333333","122.46843039178"
"176","Gitga'at First Nation","Inuit","53.424194336","-129.25378418","486","1979","23.2083333333333","122.077254715306"
"177","Weenusk","Inuit","54.987691","-85.44424","425","1979","22.625","138.393839203968"
"178","Mushuau Innu First Nation","Inuit","55.913055556","-61.127222222","538","1979","25.8166666666667","123.489123264412"
"179","Yale First Nation","Inuit","49.562305403","-121.422702513","111","1979","23.2083333333333","194.474482667718"
"180","Tlatlasikwala","Inuit","50.917602539","-127.914672852","455","1979","23.2083333333333","173.592067684447"
"181","Ucluelet First Nation","Inuit","48.939025879","-125.526000977","446","1979","23.2083333333333","123.006770755596"
"182","Flying Post","Inuit","48.531111111","-82.016944444","190","1979","24.1833333333333","129.734763694867"
"183","Innu Takuaikan Uashat Mak Mani-Utenam","Inuit","50.229744618","-66.388732617","367","1979","25.8166666666667","155.765252240474"
"184","Bonaparte","Inuit","50.836242676","-121.376098633","539","1979","23.2083333333333","147.368781222666"
"185","Lake Babine Nation","Inuit","54.238611111","-125.7625","219","1979","23.2083333333333","135.21403938837"
"186","Tl'etinqox-t'in Government Office","Inuit","52.020812988","-123.181884766","103","1979","23.2083333333333","148.279695311781"
"187","Kitsumkalum","Inuit","54.527038574","-128.670898438","481","1979","23.2083333333333","122.698263215263"
"188","Squamish","Inuit","49.31661099","-123.088666829","355","1979","23.2083333333333","223.298919627757"
"189","Ditidaht","Inuit","48.810424805","-124.671386719","498","1979","23.2083333333333","182.595776498328"
"190","Nisga'a Village of Gitwinksihlkw","Inuit","55.192993164","-129.221984863","348","1979","23.2083333333333","122.853762059513"
"191","Canim Lake","Inuit","51.778808594","-120.979614258","431","1979","23.2083333333333","142.868672408545"
"192","Stz'uminus First Nation","Inuit","49.01361084","-123.786499023","48","1979","23.2083333333333","186.674861554053"
"193","Siska","Inuit","50.137023926","-121.571899414","288","1979","23.2083333333333","175.356526994294"
"194","Tseshaht","Inuit","49.265808105","-124.84777832","27","1979","23.2083333333333","157.928461570878"
"195","Mohawks of Kahnawá:ke","Inuit","45.40802002","-73.674987793","14","1979","23.8583333333333","173.682449245436"
"196","Halalt","Inuit","48.876587363","-123.692826085","185","1979","23.2083333333333","132.320823387473"
"197","Innue Essipit","Inuit","48.333435059","-69.399963379","460","1979","24.375","199.641460503849"
"198","Pacheedaht First Nation","Inuit","48.578796387","-124.40826416","268","1979","23.2083333333333","126.084735410165"
"199","Splatsin First Nation","Inuit","50.550667597","-119.133367891","528","1979","23.2083333333333","158.936536974505"
"200","Samahquam","Inuit","49.991111111","-122.456944444","323","1979","23.2083333333333","126.642039526633"
"201","Peters","Inuit","49.29747","-121.656732","98","1979","23.2083333333333","222.133425164646"
"202","Semiahmoo","Inuit","49.014174","-122.777581","536","1979","23.2083333333333","123.567080018146"
"203","Scowlitz","Inuit","49.245","-121.995","230","1979","23.2083333333333","133.869310233507"
"204","Bridge River","Inuit","50.813888889","-122.083055556","377","1979","23.2083333333333","262.967082104107"
"205","Gitanmaax","Inuit","55.255","-127.671111111","210","1979","23.2083333333333","230.038113058342"
"206","Ulkatcho","Inuit","52.475402832","-125.300598145","8","1979","23.2083333333333","147.195390460304"
"207","N'Quatqua","Inuit","50.528055556","-122.483888889","309","1979","23.2083333333333","125.303090201176"
"208","Gwa'Sala-Nakwaxda'xw","Inuit","50.733215332","-127.498596191","545","1979","23.2083333333333","130.186261592725"
"209","Lhtako Dene Nation","Inuit","52.955200195","-122.450500488","121","1979","23.2083333333333","134.453669941811"
"210","Penticton","Inuit","49.468055556","-119.673055556","9","1979","23.2083333333333","124.628994345615"
"211","Takla Lake First Nation","Inuit","55.483032227","-125.968566895","487","1979","23.2083333333333","214.165508627709"
"212","Lhoosk'uz Dene Nation","Inuit","53.090820312","-124.488098145","207","1979","23.2083333333333","122.285815186789"
"213","Old Massett Village Council","Inuit","54.038635254","-132.180175781","281","1979","23.2083333333333","129.52552504545"
"214","Tataskweyak Cree Nation","Inuit","56.245317478","-96.095435139","324","1979","22.625","184.404959572966"
"215","Whispering Pines/Clinton","Inuit","50.986816406","-120.24786377","97","1979","23.2083333333333","125.072442671239"
"216","Fort Folly","Inuit","45.892211914","-64.495483398","61","1979","25.8166666666667","213.403458325002"
"217","Elsipogtog First Nation","Inuit","46.585833","-64.985833","296","1979","25.8166666666667","127.754848929896"
"218","Première Nation des Abénakis de Wôlinak","Inuit","46.328595491","-72.41895858","300","1979","23.8583333333333","224.118616097009"
"219","Heiltsuk","Inuit","52.166944444","-128.146944444","213","1979","23.2083333333333","132.196942373481"
"220","Wagmatcook","Inuit","46.082100621","-60.91523223","513","1979","25.8166666666667","132.982598468518"
"221","Cheslatta Carrier Nation","Inuit","54.005615234","-125.712585449","313","1979","23.2083333333333","122.760160275872"
"222","Upper Similkameen","Inuit","49.355041504","-120.078308105","533","1979","23.2083333333333","122.466877229882"
"223","Ehattesaht","Inuit","49.873840332","-126.976196289","380","1979","23.2083333333333","130.934126944207"
"224","Shamattawa First Nation","Inuit","55.858398437","-92.096069336","100","1979","22.625","230.803250659413"
"225","Gitsegukla","Inuit","55.096944444","-127.828888889","559","1979","23.2083333333333","127.455987501568"
"226","Cree Nation of Chisasibi","Inuit","53.789166667","-78.930555556","366","1979","23.95","134.20808281148"
"227","Conseil de la Première Nation Abitibiwinni","Inuit","48.598888889","-78.121111111","5","1979","23.95","126.113736692779"
"228","Seabird Island","Inuit","49.273055556","-121.721111421","542","1979","23.2083333333333","132.958069538505"
"229","Lyackson","Inuit","49.04119873","-123.636779785","182","1979","23.2083333333333","174.49585923173"
"230","Oweekeno/Wuikinuxv Nation","Inuit","51.681944444","-127.213888889","272","1979","23.2083333333333","122.257012279862"
"231","Tseycum","Inuit","48.66583252","-123.450866699","143","1979","23.2083333333333","120.122323554891"
"232","Oromocto","Inuit","45.851388889","-66.463611111","452","1979","24.375","123.123553372292"
"233","Glooscap First Nation","Inuit","45.0425","-64.236944","315","1979","24.5166666666667","221.281775301883"
"234","Soowahlie","Inuit","49.082514978","-121.968964671","333","1979","23.2083333333333","205.719840273339"
"235","Skeetchestn","Inuit","50.841186523","-120.948791504","408","1979","23.2083333333333","227.694612738813"
"236","Gitwangak","Inuit","55.096178378","-128.075998026","66","1979","23.2083333333333","166.681616608406"
"237","Nee-Tahi-Buhn","Inuit","53.992867019","-125.848692261","86","1979","23.2083333333333","126.802899363066"
"238","Soda Creek","Inuit","52.262207031","-122.093383789","360","1979","23.2083333333333","206.554928482739"
"239","Wet'suwet'en First Nation","Inuit","54.331420898","-125.893493652","220","1979","23.2083333333333","149.578591913478"
"240","Aitchelitz","Inuit","49.150411515","-121.986881612","362","1979","23.2083333333333","220.13540099428"
"241","War Lake First Nation","Inuit","56.06842041","-95.596496582","275","1979","22.625","195.1547302682"
"242","Esgenoopetitj First Nation","Inuit","47.205678093","-65.117289232","141","1979","25.8166666666667","123.202076211162"
"243","Songhees First Nation","Inuit","48.449829102","-123.425476074","418","1979","23.2083333333333","134.598602848266"
"244","Saik'uz First Nation","Inuit","53.938415527","-124.125305176","547","1979","23.2083333333333","191.965098421337"
"245","La Nation Micmac de Gespeg","Inuit","48.875793457","-64.554870605","463","1979","25.8166666666667","129.84566394065"
"246","Pictou Landing","Inuit","45.669444444","-62.652777778","448","1979","25.8166666666667","125.988871142984"
"247","Nisga'a Village of Gingolx","Inuit","54.996032715","-129.956970215","169","1979","23.2083333333333","118.929729275904"
"248","Abegweit","Inuit","46.359802246","-62.910766602","318","1979","25.8166666666667","124.221125751803"
"249","Neskonlith","Inuit","50.783996582","-119.753967285","450","1979","23.2083333333333","121.37921847395"
"250","Eel Ground","Inuit","46.987609863","-65.634216309","562","1979","24.375","197.296043589646"
"251","Qualicum First Nation","Inuit","49.396789551","-124.61529541","43","1979","23.2083333333333","133.855829038842"
"252","Qalipu Mi'kmaq First Nation","Inuit","48.950563062","-57.93777515","218","1979","27.225","130.419084279315"
"253","Union Bar","Inuit","49.443055556","-121.433055556","43","1979","23.2083333333333","144.856213815195"
"254","The Crees of the Waskaganish First Nation","Inuit","51.481532005","-78.759963618","249","1979","23.95","276.837259057754"
"255","Douglas","Inuit","49.755474212","-122.164833005","270","1979","23.2083333333333","122.467082009162"
"256","Alexis Creek","Inuit","52.138427734","-123.959594727","457","1979","23.2083333333333","229.020051099289"
"257","Behdzi Ahda"" First Nation","Inuit","67.020019531","-126.070007324","197","1979","19.075","221.726748580674"
"258","Constance Lake","Inuit","49.811944444","-84.128888889","115","1979","24.1833333333333","126.595482607161"
"259","Skin Tyee","Inuit","53.998413086","-125.879394531","124","1979","23.2083333333333","129.976053251518"
"260","Shxw'ow'hamel First Nation","Inuit","49.341846","-121.607881","151","1979","23.2083333333333","128.555520280804"
"261","Ahousaht","Inuit","49.280822754","-126.057800293","183","1979","23.2083333333333","126.432247843452"
"262","Gwawaenuk Tribe","Inuit","50.923924624","-126.820881738","342","1979","23.2083333333333","130.839309953728"
"263","T'Sou-ke First Nation","Inuit","48.386230469","-123.695495605","235","1979","23.2083333333333","126.651928674889"
"264","Sheshatshiu Innu First Nation","Inuit","53.518798828","-60.146179199","93","1979","25.8166666666667","217.616578473392"
"265","Yakweakwioose","Inuit","49.133055556","-121.938055556","458","1979","23.2083333333333","123.768787806735"
"266","Cape Mudge","Inuit","50.018055556","-125.293055556","18","1979","23.2083333333333","154.27875498036"
"267","Pabineau","Inuit","47.532222222","-65.669166667","274","1979","25.8166666666667","191.260338393942"
"268","Sts'ailes","Inuit","49.297790527","-121.910888672","16","1979","23.2083333333333","156.14434157418"
"269","Bande des Innus de Pessamit","Inuit","48.938301756","-68.638164685","340","1979","24.375","157.324511229635"
"270","Oregon Jack Creek","Inuit","50.619628906","-121.319580078","451","1979","23.2083333333333","175.382247551098"
"271","Eastmain","Inuit","52.234169403","-78.518392033","505","1979","23.95","135.203515970787"
"272","Adams Lake","Inuit","50.819030762","-119.734008789","496","1979","23.2083333333333","122.628076486042"
"273","Yunesit'in Government","Inuit","51.931030273","-123.145080566","378","1979","23.2083333333333","225.848652781524"
"274","Shxwhá:y Village","Inuit","49.171111111","-121.998888889","343","1979","23.2083333333333","156.081572968133"
"275","Pauquachin","Inuit","48.622802734","-123.457885742","344","1979","23.2083333333333","123.715749819824"
"276","Osoyoos","Inuit","49.18515918","-119.532774034","407","1979","23.2083333333333","128.452598747521"
"277","Cree Nation of Wemindji","Inuit","53.000164385","-78.811970518","102","1979","23.95","127.887768584091"
"278","Lytton","Inuit","50.25604248","-121.591064453","168","1979","23.2083333333333","123.109134745418"
"279","Nuchatlaht","Inuit","49.989624023","-126.941711426","107","1979","23.2083333333333","131.409300390483"
"280","Boothroyd","Inuit","49.961791992","-121.483398438","269","1979","23.2083333333333","128.148038107361"
"281","Tk'emlúps te Secwépemc","Inuit","50.681030273","-120.297668457","55","1979","23.2083333333333","233.972926584298"
